adviser_id,category,source_file,source_row_id,amount_gbp,included
ADV-009,advisory_fees_gbp,engagements.csv,ENG-031,1800.0,True
ADV-009,hospitality_gbp,claims.csv,CLM-019,250.0,True
ADV-009,hospitality_gbp,claims.csv,CLM-070,250.0,True
ADV-009,travel_accommodation_gbp,claims.csv,CLM-020,350.0,True
ADV-009,travel_accommodation_gbp,claims.csv,CLM-071,350.0,True
ADV-010,UNCATEGORISED,claims.csv,QS-Q1-010,700.0,False
ADV-010,advisory_fees_gbp,engagements.csv,ENG-010,2000.0,True
ADV-010,advisory_fees_gbp,engagements.csv,ENG-032,1200.0,True
ADV-010,hospitality_gbp,claims.csv,CLM-021,350.0,True
ADV-010,hospitality_gbp,claims.csv,CLM-072,350.0,True
ADV-010,travel_accommodation_gbp,claims.csv,CLM-022,350.0,True
ADV-010,travel_accommodation_gbp,claims.csv,CLM-073,350.0,True
ADV-011,advisory_fees_gbp,engagements.csv,ENG-011,2500.0,True
ADV-011,hospitality_gbp,claims.csv,CLM-023,350.0,True
ADV-011,travel_accommodation_gbp,claims.csv,CLM-024,300.0,True
ADV-011,travel_accommodation_gbp,claims.csv,CLM-025,150.0,True
ADV-012,advisory_fees_gbp,engagements.csv,ENG-012,1800.0,True
ADV-012,hospitality_gbp,claims.csv,CLM-026,250.0,True
ADV-012,hospitality_gbp,claims.csv,CLM-080,280.0,False
ADV-012,travel_accommodation_gbp,claims.csv,CLM-027,350.0,True
ADV-013,advisory_fees_gbp,engagements.csv,ENG-013,1500.0,True
ADV-013,hospitality_gbp,claims.csv,CLM-028,250.0,True
ADV-013,travel_accommodation_gbp,claims.csv,CLM-029,350.0,True
ADV-014,advisory_fees_gbp,engagements.csv,ENG-014,2000.0,True
ADV-014,hospitality_gbp,claims.csv,CLM-030,350.0,True
ADV-014,travel_accommodation_gbp,claims.csv,CLM-031,350.0,True
ADV-014,travel_accommodation_gbp,claims.csv,CLM-032,200.0,True
ADV-015,advisory_fees_gbp,engagements.csv,ENG-015,1200.0,True
ADV-015,advisory_fees_gbp,engagements.csv,ENG-034,1500.0,True
ADV-015,hospitality_gbp,claims.csv,CLM-033,300.0,True
ADV-015,hospitality_gbp,claims.csv,CLM-076,250.0,True
ADV-015,travel_accommodation_gbp,claims.csv,CLM-034,350.0,True
ADV-015,travel_accommodation_gbp,claims.csv,CLM-077,350.0,True
ADV-016,advisory_fees_gbp,engagements.csv,ENG-016,1000.0,True
ADV-016,hospitality_gbp,claims.csv,CLM-035,300.0,True
ADV-016,travel_accommodation_gbp,claims.csv,CLM-036,300.0,True
ADV-016,travel_accommodation_gbp,claims.csv,CLM-037,200.0,True
ADV-017,advisory_fees_gbp,engagements.csv,ENG-017,1500.0,True
ADV-017,hospitality_gbp,claims.csv,CLM-038,250.0,True
ADV-017,travel_accommodation_gbp,claims.csv,CLM-039,350.0,True
ADV-018,advisory_fees_gbp,engagements.csv,ENG-018,2000.0,True
ADV-018,hospitality_gbp,claims.csv,CLM-040,350.0,True
ADV-018,travel_accommodation_gbp,claims.csv,CLM-041,300.0,True
ADV-018,travel_accommodation_gbp,claims.csv,CLM-042,100.0,True
ADV-019,advisory_fees_gbp,engagements.csv,ENG-019,1800.0,True
ADV-019,hospitality_gbp,claims.csv,CLM-043,300.0,True
ADV-019,travel_accommodation_gbp,claims.csv,CLM-044,350.0,True
ADV-020,advisory_fees_gbp,engagements.csv,ENG-020,1200.0,True
ADV-020,advisory_fees_gbp,engagements.csv,ENG-035,1800.0,True
ADV-020,hospitality_gbp,claims.csv,CLM-045,200.0,True
ADV-020,hospitality_gbp,claims.csv,CLM-078,350.0,True
ADV-020,hospitality_gbp,claims.csv,CLM-082,240.0,False
ADV-020,travel_accommodation_gbp,claims.csv,CLM-046,350.0,True
ADV-020,travel_accommodation_gbp,claims.csv,CLM-079,400.0,True
ADV-021,advisory_fees_gbp,engagements.csv,ENG-021,2000.0,True
ADV-021,hospitality_gbp,claims.csv,CLM-047,350.0,True
ADV-021,travel_accommodation_gbp,claims.csv,CLM-048,250.0,True
ADV-022,advisory_fees_gbp,engagements.csv,ENG-022,1500.0,True
ADV-022,hospitality_gbp,claims.csv,CLM-049,350.0,True
ADV-022,travel_accommodation_gbp,claims.csv,CLM-050,350.0,True
ADV-023,advisory_fees_gbp,engagements.csv,ENG-023,2000.0,True
ADV-023,hospitality_gbp,claims.csv,CLM-051,350.0,True
ADV-023,travel_accommodation_gbp,claims.csv,CLM-052,300.0,True
ADV-023,travel_accommodation_gbp,claims.csv,CLM-053,150.0,True
ADV-024,advisory_fees_gbp,engagements.csv,ENG-024,800.0,True
ADV-024,hospitality_gbp,claims.csv,CLM-054,200.0,True
ADV-024,travel_accommodation_gbp,claims.csv,CLM-055,200.0,True
ADV-025,advisory_fees_gbp,engagements.csv,ENG-025,1500.0,True
ADV-025,hospitality_gbp,claims.csv,CLM-056,200.0,True
ADV-025,travel_accommodation_gbp,claims.csv,CLM-057,350.0,True
ADV-026,hospitality_gbp,claims.csv,CLM-083,250.0,False
ADV-027,travel_accommodation_gbp,claims.csv,CLM-084,310.0,False
ADV-028,hospitality_gbp,claims.csv,CLM-085,275.0,False
